CallIDSK,Account Number,AgentKey,OrgKMASK,DateSK,Tech Order,Answered Calls ,Call Duration (min),Talk Time (min),Hold Time (min)
101,12345678,501,Charlotte,20240301,123,5,10,8,2
102,12345679,502,Saint Louis,20240305,223,3,12,9,3
103,12345680,503,Connecticut ,20240309,323,7,14,10,4
104,12345681,504,Tampa,20240313,423,10,16,11,5
105,12345682,505,Dallas,20240317,523,12,18,12,6
106,12345683,506,Charlotte,20240321,623,15,20,13,7
107,12345684,507,Saint Louis,20240325,723,4,22,14,8
108,12345685,508,Connecticut ,20240329,823,5,24,15,9
109,12345686,509,Tampa,20240401,923,3,26,16,10
110,12345687,510,Dallas,20240406,1023,7,28,17,11
111,12345688,511,Charlotte,20240411,1123,10,30,18,12
112,12345689,512,Saint Louis,20240416,1223,12,32,19,13
113,12345690,513,Connecticut ,20240421,1323,15,34,20,14
114,12345691,514,Tampa,20240426,1423,4,36,21,15
115,12345692,515,Dallas,20240430,1523,5,38,22,16
116,12345693,516,Charlotte,20240502,1623,3,40,23,17
117,12345694,517,Saint Louis,20240507,1723,7,42,24,18
118,12345695,518,Connecticut ,20240512,1823,10,44,25,19
119,12345696,519,Tampa,20240517,1923,12,46,26,20
120,12345697,520,Dallas,20240522,2023,15,48,27,21
121,12345698,521,Charlotte,20240527,2123,4,50,28,22
122,12345699,522,Saint Louis,20240531,2223,5,52,29,23
123,12345700,523,Connecticut ,20240603,2323,3,54,30,24
124,12345701,524,Tampa,20240606,2423,7,56,31,25
125,12345702,525,Dallas,20240609,2523,10,58,32,26
126,12345703,526,Saint Louis,20240612,2623,12,60,33,27
127,12345704,527,Saint Louis,20240615,2723,15,62,34,28
128,12345705,528,Connecticut ,20240618,2823,5,64,35,29
129,12345706,529,Tampa,20240621,2923,3,66,36,30
130,12345707,530,Dallas,20240624,3023,7,68,37,31
