Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
2024,6.22,1.77,7.73,4.17,3.27,,,,,,,,
2023,3.67,1.52,2.55,5.59,1.97,3.92,6.37,4.07,7.74,2,2.71,8.37,50.48
2022,3.37,2.71,2.64,5.04,5.28,3.39,2.05,2.34,3.11,6.46,2.88,4.78,44.05
2021,1.86,4.73,3.84,2.35,3.84,3.37,7.62,6.59,6.34,5.06,1.01,1.26,47.87
2020,2.29,2.79,3.61,3.98,2.47,3.05,6.69,6.09,4.41,5.03,4.09,5.35,49.85
2019,4.49,3.26,3.84,3.97,6.75,5.15,6.14,3.73,1.25,5.71,1.94,5.32,51.55
2018,2.72,6.08,4.64,4.17,5.8,3.3,5.91,5.56,7.57,4.46,8.65,5.9,64.76
2017,3.71,1.64,4.06,3.82,6.51,3.32,6.29,5.17,2.27,4.97,1.7,1.46,44.92
2016,3.19,4.08,1.87,2.26,4.79,2.4,6.97,2.08,3.45,2.8,2.43,3.27,39.59
2015,4.43,2.18,4.55,2.67,1.21,8.12,3.68,2.26,3.6,4.02,2.3,4.84,43.86
2014,3.12,4.96,3.97,4.42,4.72,3.32,5.23,4.08,2.5,3.64,4.34,4.65,48.95
2013,3,2.89,2.89,2.6,3.82,9.49,5.27,4.67,2.11,2.01,2.89,4.74,46.38
2012,2.78,1.33,1.65,2.87,4.27,4.3,3.43,4.62,4.45,5.43,1.3,5.56,41.99
2011,3.33,3.07,5.55,5.67,3.77,3.43,4.11,15.67,7.12,4.19,3.83,4.21,63.95
2010,2.64,4.62,8.66,2.51,3.35,2.24,4.07,2.51,3.18,5.38,2.17,3.27,44.6
2009,2.93,0.66,2.01,4.4,4.43,6.79,5,7.39,3.99,5.67,2.19,7.71,53.17
2008,2.06,5.24,4.09,2.67,4.57,3.09,3.92,2.34,6.16,2.84,3.8,6.44,47.22
2007,3.6,1.97,4.11,8.45,1.58,4.05,4.47,4.49,0.99,5.5,2.34,5.38,46.93
2006,5.17,1.76,0.82,3.64,3.03,7.88,5.18,3.76,5.85,6.28,5.88,2.16,51.41
2005,4.35,2.42,4.01,4.48,2.56,3.53,4.64,2.12,1.19,11.99,3.91,3.61,48.81
2004,1.98,2.52,3.3,5.32,3.75,3.05,7.52,4.82,6.06,2.28,4.62,3.48,48.7
2003,2.54,4.69,4.07,2.86,3.77,8.43,3.87,4.92,6.26,4.99,4.32,5.76,56.48
2002,2.21,0.75,4.21,3.83,4.26,4.94,1.66,3.73,3.95,6.74,5.1,4.53,45.91
2001,3.03,2.62,5.95,1.83,3.17,5.24,3.1,3.53,2.93,0.93,1,2.22,35.55
2000,3.1,2.16,4.61,3.33,3.82,4.38,5.76,5.33,5.23,0.77,3.15,3.61,45.25
1999,7.19,2.88,4.95,2.71,3.01,1.69,1.27,5.37,9.5,3.34,2.38,2.97,47.26
1998,4.57,4.47,5.11,4.67,5.95,5.04,2.04,2.58,2,2.63,1.35,1.34,41.75
1997,3.18,2.42,4.65,3.86,3.2,2.13,5.19,5.52,2.29,2.36,4.16,3.91,42.87
1996,5.73,2.28,4.32,4.99,3.68,5.07,7.13,3.52,5.66,6.34,2.59,7.87,59.18
1995,3.19,2.37,1.91,1.86,3.73,2.08,4.36,1.71,4.22,6.86,5.07,2.34,39.7
1994,5.42,3.57,7.12,2.89,3.6,3.44,5.3,5.92,2.97,0.95,3.67,2.46,47.31
1993,2.59,2.87,6.9,4.62,1.42,2.64,2.67,3.97,5.51,4.02,2.86,4.64,44.71
1992,1.76,1.92,3.63,1.72,3.26,4.53,4.74,4.81,4.04,1.49,4.76,5.04,41.7
1991,4.33,1.35,5.08,3.83,2.26,2.8,5.7,4.82,4.12,2.14,1.97,4.01,42.41
