OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,Shape__Area,Shape__Length
1,3.4001E+11,811,547,67.44759556,811,84,727,89.64241677,298,95,31.87919463,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,5be223c2-7f5e-4300-946f-000cdc2ae7df,10712127.44,13286.6714
2,3.4001E+11,1303,894,68.61089793,1303,339,964,73.98311589,537,60,11.17318436,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,aa4d6371-eac4-4142-b89b-9e7ba542bf01,12655092.92,17681.07467
3,3.4001E+11,1901,878,46.18621778,1901,346,1555,81.79905313,682,248,36.36363636,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,5201289e-8de9-4b21-aa32-2b588318970a,9261212.748,15404.43535
4,3.4001E+11,560,154,27.5,560,222,338,60.35714286,262,80,30.53435115,Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,159a7a7b-7bbf-4d94-892b-f59871ad71a2,1722495.286,7958.923071
5,3.4001E+11,953,364,38.19517314,953,565,388,40.7135362,434,26,5.99078341,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,ece64500-2daf-4972-b366-bda8625a9bf7,1861613.725,5886.172558
6,3.4001E+11,1151,614,53.34491746,1151,78,1073,93.2232841,373,99,26.54155496,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,61788430-ef9b-498a-b740-e7fd2fafae3e,1715035.144,6284.621766
7,3.4001E+11,1866,1223,65.54126474,1866,81,1785,95.65916399,496,106,21.37096774,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,18845093-1dbd-49b4-9d05-1429f849381d,1215031.584,5076.604819
8,3.4001E+11,958,396,41.33611691,958,271,687,71.71189979,450,145,32.22222222,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,d89a5547-2a74-4de4-84fc-4867d10a31c3,1492873.162,4823.922245
9,3.4001E+11,1183,772,65.2578191,1183,479,704,59.50972105,606,44,7.26072607,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,1db093e1-31e1-4e41-9f5c-7d4cc72fe710,3178817.216,8044.905149
10,3.4001E+11,729,509,69.82167353,729,190,539,73.93689986,322,25,7.76397516,Low Income and Minority,Block Group,3400102080,ATLANTIC,Atlantic City,102,Not a Split Block Group,Not Applicable,d3977a98-de04-4761-af89-fc895d1aee44,12391617.36,17123.0821
